region	layer	chamber	VFAT	reason_mask
M	1	1	8	1
M	1	1	9	1
M	1	6	0	2
M	1	6	17	2
M	1	9	0	1
M	1	9	1	1
M	1	9	2	1
M	1	9	3	1
M	1	9	4	1
M	1	9	5	1
M	1	9	6	1
M	1	9	7	1
M	1	9	8	1
M	1	9	9	1
M	1	9	10	1
M	1	9	11	1
M	1	9	12	1
M	1	9	13	1
M	1	9	14	1
M	1	9	15	1
M	1	9	16	1
M	1	9	17	1
M	1	9	18	1
M	1	9	19	1
M	1	9	20	1
M	1	9	21	1
M	1	9	22	1
M	1	9	23	1
M	1	11	5	1
M	1	14	8	1
M	1	15	0	1
M	1	15	1	1
M	1	15	3	1
M	1	15	5	1
M	1	15	6	1
M	1	15	11	1
M	1	15	13	1
M	1	15	14	1
M	1	15	22	1
M	1	16	14	2
M	1	17	8	1
M	1	19	8	1
M	1	20	1	1
M	1	20	4	1
M	1	20	5	1
M	1	20	6	1
M	1	20	7	1
M	1	20	8	1
M	1	20	9	1
M	1	20	10	1
M	1	20	12	1
M	1	20	13	1
M	1	20	15	1
M	1	20	16	1
M	1	20	17	1
M	1	20	18	1
M	1	20	19	1
M	1	20	21	1
M	1	20	23	1
M	1	24	0	2
M	1	24	1	2
M	1	24	5	2
M	1	24	17	2
M	1	25	0	1
M	1	25	6	1
M	1	25	10	1
M	1	25	13	1
M	1	25	22	1
M	1	27	10	1
M	1	27	12	1
M	1	27	14	1
M	1	29	0	1
M	1	29	1	1
M	1	29	2	1
M	1	29	3	1
M	1	29	4	1
M	1	29	5	1
M	1	29	6	1
M	1	29	7	1
M	1	29	8	1
M	1	29	9	1
M	1	29	10	1
M	1	29	11	1
M	1	29	12	1
M	1	29	13	1
M	1	29	14	1
M	1	29	15	1
M	1	29	16	1
M	1	29	17	1
M	1	29	18	1
M	1	29	19	1
M	1	29	20	1
M	1	29	21	1
M	1	29	22	1
M	1	29	23	1
M	1	30	0	2
M	1	30	1	1
M	1	30	2	2
M	1	30	3	2
M	1	30	7	2
M	1	30	9	2
M	1	30	16	2
M	1	30	17	2
M	1	30	19	2
M	1	30	22	2
M	1	30	23	2
M	1	31	2	1
M	1	31	7	1
M	1	31	8	1
M	1	31	10	1
M	1	31	11	1
M	1	31	14	1
M	1	31	16	1
M	1	31	20	1
M	1	36	0	1
M	1	36	1	1
M	1	36	2	1
M	1	36	3	1
M	1	36	4	1
M	1	36	5	1
M	1	36	6	1
M	1	36	7	1
M	1	36	8	1
M	1	36	9	1
M	1	36	10	1
M	1	36	11	1
M	1	36	12	1
M	1	36	13	1
M	1	36	14	1
M	1	36	15	1
M	1	36	16	1
M	1	36	17	1
M	1	36	18	1
M	1	36	19	1
M	1	36	20	1
M	1	36	21	1
M	1	36	22	1
M	1	36	23	1
M	2	1	8	1
M	2	1	9	1
M	2	6	0	2
M	2	6	17	2
M	2	9	0	1
M	2	9	1	1
M	2	9	2	1
M	2	9	3	1
M	2	9	4	1
M	2	9	5	1
M	2	9	6	1
M	2	9	7	1
M	2	9	8	1
M	2	9	9	1
M	2	9	10	1
M	2	9	11	1
M	2	9	12	1
M	2	9	13	1
M	2	9	14	1
M	2	9	15	1
M	2	9	16	1
M	2	9	17	1
M	2	9	18	1
M	2	9	19	1
M	2	9	20	1
M	2	9	21	1
M	2	9	22	1
M	2	9	23	1
M	2	11	5	1
M	2	14	8	1
M	2	15	0	1
M	2	15	1	1
M	2	15	3	1
M	2	15	5	1
M	2	15	6	1
M	2	15	11	1
M	2	15	13	1
M	2	15	14	1
M	2	15	22	1
M	2	16	14	2
M	2	17	8	1
M	2	19	8	1
M	2	20	1	1
M	2	20	4	1
M	2	20	5	1
M	2	20	6	1
M	2	20	7	1
M	2	20	8	1
M	2	20	9	1
M	2	20	10	1
M	2	20	12	1
M	2	20	13	1
M	2	20	15	1
M	2	20	16	1
M	2	20	17	1
M	2	20	18	1
M	2	20	19	1
M	2	20	21	1
M	2	20	23	1
M	2	24	0	2
M	2	24	1	2
M	2	24	5	2
M	2	24	17	2
M	2	25	0	1
M	2	25	6	1
M	2	25	10	1
M	2	25	13	1
M	2	25	22	1
M	2	27	10	1
M	2	27	12	1
M	2	27	14	1
M	2	29	0	1
M	2	29	1	1
M	2	29	2	1
M	2	29	3	1
M	2	29	4	1
M	2	29	5	1
M	2	29	6	1
M	2	29	7	1
M	2	29	8	1
M	2	29	9	1
M	2	29	10	1
M	2	29	11	1
M	2	29	12	1
M	2	29	13	1
M	2	29	14	1
M	2	29	15	1
M	2	29	16	1
M	2	29	17	1
M	2	29	18	1
M	2	29	19	1
M	2	29	20	1
M	2	29	21	1
M	2	29	22	1
M	2	29	23	1
M	2	30	0	2
M	2	30	1	1
M	2	30	2	2
M	2	30	3	2
M	2	30	7	2
M	2	30	9	2
M	2	30	16	2
M	2	30	17	2
M	2	30	19	2
M	2	30	22	2
M	2	30	23	2
M	2	31	2	1
M	2	31	7	1
M	2	31	8	1
M	2	31	10	1
M	2	31	11	1
M	2	31	14	1
M	2	31	16	1
M	2	31	20	1
M	2	36	0	1
M	2	36	1	1
M	2	36	2	1
M	2	36	3	1
M	2	36	4	1
M	2	36	5	1
M	2	36	6	1
M	2	36	7	1
M	2	36	8	1
M	2	36	9	1
M	2	36	10	1
M	2	36	11	1
M	2	36	12	1
M	2	36	13	1
M	2	36	14	1
M	2	36	15	1
M	2	36	16	1
M	2	36	17	1
M	2	36	18	1
M	2	36	19	1
M	2	36	20	1
M	2	36	21	1
M	2	36	22	1
M	2	36	23	1
P	1	1	8	1
P	1	1	9	1
P	1	6	0	2
P	1	6	17	2
P	1	9	0	1
P	1	9	1	1
P	1	9	2	1
P	1	9	3	1
P	1	9	4	1
P	1	9	5	1
P	1	9	6	1
P	1	9	7	1
P	1	9	8	1
P	1	9	9	1
P	1	9	10	1
P	1	9	11	1
P	1	9	12	1
P	1	9	13	1
P	1	9	14	1
P	1	9	15	1
P	1	9	16	1
P	1	9	17	1
P	1	9	18	1
P	1	9	19	1
P	1	9	20	1
P	1	9	21	1
P	1	9	22	1
P	1	9	23	1
P	1	11	5	1
P	1	14	8	1
P	1	15	0	1
P	1	15	1	1
P	1	15	3	1
P	1	15	5	1
P	1	15	6	1
P	1	15	11	1
P	1	15	13	1
P	1	15	14	1
P	1	15	22	1
P	1	16	14	2
P	1	17	8	1
P	1	19	8	1
P	1	20	1	1
P	1	20	4	1
P	1	20	5	1
P	1	20	6	1
P	1	20	7	1
P	1	20	8	1
P	1	20	9	1
P	1	20	10	1
